orientation,si-percentage,timestep,initdiam,xeta,force,pote,displacement,strain,contact-elliptical-area,elliptical-stress,percent-cn-1,percent-cn-2,percent-cn-3,percent-cn-4,percent-cn-5,percent-cn-6,percent-cn-7
100,0,40000,99.6183320595406,105.0,0.0,-109844.497866092,0.4,0.04015325209028044,0.0,0.0,0.0051694999502932696,0.14149849222918118,0.05626801868973059,0.7967326109288531,0.00033137820194187626,,
100,0,44000,99.6183320595406,104.6,0.0,-109849.404702992,0.44000000000000056,0.044168577299308544,0.0,0.0,0.005136362130099082,0.14123338966762766,0.05626801868973059,0.7970308513106008,0.00029824038174768865,3.3137820194187624e-05,
100,0,48000,99.6183320595406,104.2,0.331195643534448,-109855.652419939,0.4799999999999997,0.0481839025083365,57.246338209799276,0.9269303993397001,0.005136362130099082,0.14129966530801605,0.05626801868973059,0.7970308513106008,0.00023196474135931338,3.3137820194187624e-05,
100,0,52000,99.6183320595406,103.8,0.247404092429023,-109864.754649522,0.5200000000000002,0.052199227717364606,60.01349024695424,0.6604929950923483,0.005136362130099082,0.14123338966762766,0.05626801868973059,0.7969645756702124,0.0003645160221360639,3.3137820194187624e-05,
100,0,56000,99.6183320595406,103.4,0.0137645681101178,-109865.016618095,0.5599999999999994,0.05621455292639256,37.43323814994589,0.058913579926100974,0.005136362130099082,0.14120025184743348,0.05626801868973059,0.797063989130795,0.00029824038174768865,3.3137820194187624e-05,
100,0,60000,99.6183320595406,103.0,5.37962746418225,-109871.166799919,0.6,0.06022987813542066,37.22419153251969,23.154592906400286,0.005136362130099082,0.14080259800510322,0.05640056997050734,0.7973290916923484,0.00029824038174768865,3.3137820194187624e-05,
100,0,64000,99.6183320595406,102.6,6.27019872308124,-109880.403291485,0.6400000000000006,0.06424520334444876,100.62561871391566,9.98350324474789,0.005070086489710707,0.14080259800510322,0.05640056997050734,0.7975279186135136,0.00016568910097093813,3.3137820194187624e-05,
100,0,68000,99.6183320595406,102.2,9.83912857495165,-109879.313394788,0.6799999999999997,0.06826052855347672,190.6145104772739,8.270102640261065,0.005070086489710707,0.14070318454452066,0.05640056997050734,0.7973622295125427,0.00043079166252443915,3.3137820194187624e-05,
100,0,72000,99.6183320595406,101.8,11.5333218612161,-109881.985826669,0.7200000000000003,0.07227585376250482,161.25432312323153,11.45917277032905,0.005070086489710707,0.14057063326374392,0.056201743049342216,0.7976273320740962,0.0004970673029128144,3.3137820194187624e-05,
100,0,76000,99.6183320595406,101.4,15.1926068862783,-109880.779407665,0.7599999999999995,0.07629117897153279,242.3342322470664,10.044486866310026,0.005070086489710707,0.14043808198296717,0.05633429433011897,0.7975610564337078,0.0005633429433011896,3.3137820194187624e-05,
100,0,80000,99.6183320595406,101.0,23.3108756443213,-109875.39743613,0.8,0.08030650418056089,246.8657028598492,15.12892437614934,0.005070086489710707,0.14023925506180204,0.05633429433011897,0.7977598833548729,0.0005633429433011896,3.3137820194187624e-05,
100,0,84000,99.6183320595406,100.6,25.7267037232637,-109884.772854171,0.8400000000000005,0.08432182938958899,319.5780787539365,12.897851888101702,0.005070086489710707,0.14020611724160784,0.05633429433011897,0.7977930211750671,0.0005633429433011896,3.3137820194187624e-05,
100,0,88000,99.6183320595406,100.2,35.787737502246,-109883.902666188,0.8799999999999997,0.08833715459861695,529.2681901740415,10.833497116375673,0.005003810849322331,0.13997415250024853,0.056566259071478275,0.7978924346356496,0.000530205123107002,3.3137820194187624e-05,
100,0,92000,99.6183320595406,99.8,36.2262074791774,-109877.34826905,0.9200000000000003,0.09235247980764505,489.7472078199575,11.85116714652014,0.005003810849322331,0.1398084633992776,0.05666567253206084,0.7979255724558438,0.0005633429433011896,3.3137820194187624e-05,
100,0,96000,99.6183320595406,99.4,37.3053349003435,-109885.240012217,0.9599999999999994,0.096367805016673,461.0447336774335,12.963972448519536,0.005003810849322331,0.1395433608377241,0.056632534711866654,0.7982569506577857,0.000530205123107002,3.3137820194187624e-05,
100,0,100000,99.6183320595406,99.0,48.8874634942258,-109876.711269152,1.0,0.10038313022570111,573.7591147798922,13.651429440275223,0.004937535208933956,0.1395433608377241,0.056632534711866654,0.7983232262981741,0.000530205123107002,3.3137820194187624e-05,
